"fips","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019"
37053,317434,375690,422252,449806,469107,430540,459124,461877,445302,485662,537123,551358,570950,587877,612363,603963,648172,736049,760491
37055,1416187,1543175,1677608,1785764,1895998,1584084,1551939,1569651,1510129,1577325,1607492,1697907,1769817,1922985,2018702,2138476,2293976,2400615,2574089
37057,2975721,3127517,3100839,3150513,3262654,3454140,3466204,3705206,3902261,4153628,4159229,3878897,3980226,4070614,4339828,4610442,4855813,5031224,5305126
37059,671734,687013,681285,741043,794949,846635,876854,873236,816262,849089,864032,888920,986410,1086906,1152713,1209845,1309603,1354586,1424549
37061,1811091,1683013,1763540,1966233,1936193,2165713,2309844,2395837,2431930,2333591,2076593,2053491,2163744,2217644,2103979,2019671,2039990,2018455,2020397
37063,15780413,16773677,18133558,18518599,20458069,26170486,27935790,28169117,26810623,29340380,30655948,31887401,33816987,33727267,33244116,32205872,32862689,34781205,37223616
37065,1706122,1657344,1695394,1784281,1794667,1841062,1805809,1750701,2967534,2215506,1734478,1611501,1548620,1535704,1570019,1629729,1698601,1737109,1823187
37067,15958696,16181969,17261961,18118960,18935040,19938982,19959754,21196934,21508190,21190175,20013902,21313412,22274784,23420588,24122464,24853462,25451814,26186734,27360149
37069,733956,763767,811956,859250,959413,1126436,1250191,1210485,1219944,1182050,1221995,1149955,1288446,1409349,1628654,1737217,1911994,1876407,2040752
37071,4739738,4916381,4929217,5163555,5314962,5719840,5755163,5778200,5678022,6575661,6225626,6142283,6433254,6621120,6926188,7162563,7498732,7838787,8161493
37073,115977,119475,134197,133420,137647,148039,144287,128908,132636,135452,138203,141526,140277,147807,149864,153362,168526,175452,192242
37075,147835,158646,165587,159851,167571,182120,184541,186117,194794,198816,200697,190609,218481,208421,218740,201028,213622,237814,266975
37077,1563052,1568996,1595051,1449618,1547842,1709580,2003799,2516563,2803220,2647171,2657669,2221590,2308541,2257346,2499623,2806993,3389095,3371521,3524192
37079,274248,254634,282150,300576,279424,289100,329492,359449,372100,391819,407258,398192,439045,443487,430284,440385,475654,473905,497136
37081,21863627,23001806,23148524,22908755,23993604,25519724,26307391,27856422,28371213,28714847,29803117,29032948,30779140,31873120,33886704,33834757,34355657,35235743,36784845
37083,1030657,1063459,1123702,1169505,1213508,1318363,1338114,1254675,1291265,1356715,1415541,1401638,1445100,1455303,1495661,1491450,1526245,1561391,1649962
37085,1416734,1463321,1479802,1664069,1746977,1890536,1885308,1919806,1839509,1912311,1880768,1928134,2017631,2143784,2221686,2331407,2453636,2569506,2648298
37087,1039545,1128806,1141755,1179974,1206166,1339195,1397532,1340537,1381254,1482904,1518300,1480870,1500345,1531560,1605257,1711343,1816042,1934626,2073281
37089,2313473,2461972,2464799,2572243,2699132,2953326,2907742,2947267,2836938,2990032,3127641,3211935,3429136,3566743,3661231,3826375,3893731,4048569,4231251
37091,532145,574563,569071,620831,622901,671614,698425,718754,680093,711757,710920,778336,755175,758864,730602,739229,777753,801533,856536
37093,615426,641561,762144,921180,989145,1099653,739518,741131,1172521,1048281,972465,743121,790554,783253,831487,939041,1046209,1067365,1125591
37095,129520,130844,141500,148008,158723,157195,176035,131643,131551,145793,154923,198394,190952,161167,166087,165829,173462,177905,186941
37097,3976303,4144575,4355683,4743890,5112876,5498496,5634775,5751345,5618456,5883269,6179661,6412746,6746625,7189523,7571534,7965952,8125300,8552273,9019849
37099,761577,814763,842740,903923,978903,1062598,1103997,1098495,1086004,1103195,1120175,1090314,1137157,1194996,1303655,1393105,1473315,1532378,1639051
37101,2917156,3131787,3389309,3507950,3813036,4105245,4357095,3948668,3990306,4092294,4289822,4069173,4444791,4820251,5296330,5947009,7016861,7546606,8079175
37103,165176,139923,131131,152942,160059,160241,162362,134679,142684,171879,188566,202461,240850,231082,176982,178588,204162,185372,216561
37105,1938458,2067509,2178969,2265729,2422953,2613819,2884816,2833558,2831594,2775233,2751342,2558599,2679336,2732972,2773212,2712191,2654803,2777477,2857070
37107,1849169,1875893,1808328,1823011,1934990,2020798,2040724,2080523,2045369,2065193,2264709,2451607,2659936,2766684,2923303,3000979,3049245,3069644,3204139
37109,1200989,1290233,1317072,1410081,1484535,1667630,1770545,1734626,1677334,1703887,1806384,1819940,2031110,2124526,2331357,2491519,2762718,2878851,3156153
37111,1263887,1317296,1252411,1186401,1224225,1320063,1398279,1476734,1618309,1556029,1619505,1342237,1411055,1499972,1649354,1698654,1804324,1873764,1965368
37113,673083,739491,755529,806459,823726,878056,862326,861694,832027,867926,892765,897066,931567,1008144,1138720,1305566,1373657,1436654,1558095
37115,275891,280146,281327,302006,306332,350119,351511,353629,356974,374581,371784,331977,331329,371041,386372,393503,383475,431752,468260
37117,672155,692655,658266,678276,691415,721815,669778,637002,658674,650166,637191,661286,679626,702273,718651,701663,719578,725561,741230
37119,46095322,48409376,52490495,57279726,64262439,69906190,72829690,81440070,73845388,70048794,76356569,85867252,85813347,91070479,97417511,101990039,107344183,114180631,118020851
37121,342331,337677,346587,378506,405596,415611,420701,413134,407294,470538,438012,447912,446540,453589,447542,454502,479887,517994,561509
37123,595750,637062,610080,663920,699870,730118,702774,645709,617282,671794,691491,717028,783662,832613,865912,869958,885447,921983,942233
37125,1930475,1971633,1931828,2075031,2250297,2321933,2354578,2395711,2402631,2594794,2660876,2721471,2837796,3020013,3147084,3263280,3383270,3553278,3729437
37127,3069261,3127617,3202452,3218250,3385314,3719580,3915569,4098327,4203569,4367913,4459398,3967810,4211656,5793923,7441456,7909703,7490153,7541033,5866410
37129,6072733,6364383,6660630,7022911,7808756,8557085,9241155,9571080,9473777,9679377,9935592,9511035,10346000,11039159,11475127,12099013,12326704,13169256,13930664
37131,392232,384655,439525,454433,486727,514377,536396,505533,525863,501847,530782,521110,501275,481141,509687,529031,593917,610483,684636
37133,3850822,3897169,4220578,4741411,5239732,5625967,6236904,6995754,7657347,8181339,8290604,8264440,8182394,8201289,8210830,8710723,8691600,9046749,9206722
37135,4225971,4409862,4542119,4904211,5239014,5638259,5843298,6135200,6100552,6378964,6416452,6700117,7041625,7364605,7746080,8131233,8530357,9118036,9555568
37137,172862,179347,186453,194877,213173,230946,239887,274439,267843,281127,257980,257668,287416,282087,287273,263874,270957,276784,303728
37139,874043,940370,1102226,1184164,1271520,1331054,1329359,1344183,1307122,1366001,1388316,1387289,1399773,1382047,1444443,1463432,1500644,1545807,1592687
37141,565313,577938,623649,711668,780605,834957,904723,935320,911139,969262,972531,1003818,1031655,1100151,1133329,1193042,1240879,1311114,1417491
37143,138039,134434,152593,157627,177030,199618,195403,183825,181847,192202,205948,209118,191911,190297,195632,201314,243251,277933,305905
37145,1356803,1361133,1344996,1413841,1386596,1545523,1564289,1573201,1746583,1943076,1699922,1837467,1556305,1737932,1611453,1572580,1545351,1555931,1699183
37147,4206665,4286165,4327012,4579222,5069835,5711993,6139136,6400163,6740807,6906291,7212751,7293228,7904672,8407316,9347484,9501289,9536524,9596301,10008070
37149,311683,336789,344352,364069,378818,407594,418304,405098,417062,442902,449868,443177,461630,469725,486725,497186,505456,482086,503726
37151,3001276,3077454,3101987,3297641,3388260,3651891,3687920,3539973,3607823,3799627,3819655,3781988,3836716,3886749,4121762,4098782,4182357,4311712,4533912
