"fips","region","division","netmig2010","netmig2011","netmig2012","netmig2013","netmig2014","netmig2015","netmig2016","netmig2017","netmig2018","netmig2019"
"05035","South","West South Central",-66,-732,-770,-647,-486,-893,-40,-797,-533,-598
"05037","South","West South Central",-44,-57,-112,-170,-357,102,-236,-182,-180,-200
"05039","South","West South Central",-35,-6,-63,-25,-161,-127,-105,-34,-166,-135
"05041","South","West South Central",-40,-272,-165,-111,-256,-234,-124,-159,-203,-109
"05043","South","West South Central",149,16,-8,-156,-67,-71,-65,-223,-73,-139
"05045","South","West South Central",592,1472,1484,61,708,50,391,736,991,273
"05047","South","West South Central",-2,-100,-14,-7,-65,-44,-43,211,-40,-35
"05049","South","West South Central",18,98,-39,38,-15,98,24,105,264,237
"05051","South","West South Central",142,981,412,961,343,356,721,365,944,699
"05053","South","West South Central",30,67,75,-28,38,-60,64,51,95,101
"05055","South","West South Central",73,478,347,-127,538,356,335,206,284,-94
"05057","South","West South Central",-45,-176,-244,-3,-184,-325,-148,-235,-227,-212
"05059","South","West South Central",180,-118,395,58,-32,138,-12,226,123,118
"05061","South","West South Central",4,-3,-176,-139,-79,-156,-12,-18,-49,-101
"05063","South","West South Central",138,12,-2,-117,135,-23,9,280,237,-24
"05065","South","West South Central",11,-71,30,-54,216,34,64,256,-6,115
"05067","South","West South Central",44,-120,-180,84,-127,-155,-69,-223,-242,-14
"05069","South","West South Central",-168,-1503,-1502,-1562,-882,-656,-1483,-1166,-1157,-1208
"05071","South","West South Central",6,50,124,-43,-88,65,-72,202,181,-154
"05073","South","West South Central",-6,-66,-63,-105,-96,-118,-113,-63,-110,-21
"05075","South","West South Central",86,-170,-189,51,-18,-247,1,6,-86,29
"05077","South","West South Central",-45,-95,-78,-129,-155,-150,-327,-187,-136,-80
"05079","South","West South Central",-71,239,-187,-72,-38,-126,-127,-223,-238,-112
"05081","South","West South Central",-25,-141,-7,-185,-228,-51,50,-19,-53,3
"05083","South","West South Central",-9,-61,-335,119,-96,-127,4,9,-9,-146
