"fips","region","division","internationalmig2010","internationalmig2011","internationalmig2012","internationalmig2013","internationalmig2014","internationalmig2015","internationalmig2016","internationalmig2017","internationalmig2018","internationalmig2019"
"08055","West","Mountain",4,20,0,-2,-1,1,4,3,4,4
"08057","West","Mountain",0,0,0,0,1,0,0,0,1,1
"08059","West","Mountain",118,672,566,372,485,678,495,441,613,596
"08061","West","Mountain",0,0,0,0,0,0,0,0,0,0
"08063","West","Mountain",-2,17,7,3,1,2,3,3,8,8
"08065","West","Mountain",-5,-2,-7,-6,-10,-6,-2,-2,-1,0
"08067","West","Mountain",3,17,-1,-10,-4,-5,-19,-18,-12,-11
"08069","West","Mountain",78,486,485,449,413,599,485,417,538,537
"08071","West","Mountain",3,16,5,8,17,19,13,12,17,18
"08073","West","Mountain",-1,7,7,0,1,2,4,3,4,4
"08075","West","Mountain",-1,-12,-12,20,15,23,9,3,6,6
"08077","West","Mountain",12,68,-20,-37,-57,-33,-40,-40,-13,-13
"08079","West","Mountain",0,0,0,0,0,0,0,0,0,0
"08081","West","Mountain",4,23,9,4,-3,3,0,8,19,19
"08083","West","Mountain",6,15,-3,-23,-15,-18,-16,-16,-17,-17
"08085","West","Mountain",5,59,-15,-10,-13,-12,-14,1,15,15
"08087","West","Mountain",36,171,65,74,82,131,126,147,200,171
"08089","West","Mountain",3,5,2,-5,-6,0,2,1,7,7
"08091","West","Mountain",1,-1,2,0,1,3,2,2,1,1
"08093","West","Mountain",1,-3,8,6,2,-5,-7,-7,-7,-7
"08095","West","Mountain",1,42,12,7,-2,12,6,17,23,23
"08097","West","Mountain",18,63,44,83,84,109,99,78,94,93
"08099","West","Mountain",2,20,10,12,16,10,6,12,17,17
"08101","West","Mountain",4,91,46,28,32,65,21,36,70,65
"08103","West","Mountain",10,17,18,5,0,5,5,8,11,11
"08105","West","Mountain",-1,7,-7,-12,-3,-4,-2,1,12,12
"08107","West","Mountain",6,26,61,75,81,67,47,32,42,43
"08109","West","Mountain",2,20,4,5,6,6,6,7,9,9
"08111","West","Mountain",0,0,0,0,0,0,0,0,0,0
