"fips","region","division","domesticmig2010","domesticmig2011","domesticmig2012","domesticmig2013","domesticmig2014","domesticmig2015","domesticmig2016","domesticmig2017","domesticmig2018","domesticmig2019"
"05101","South","West South Central",10,-49,-183,22,-159,16,13,-22,-2,-22
"05103","South","West South Central",-2,-278,-317,-373,-154,-395,-240,-98,-113,-147
"05105","South","West South Central",18,-77,-33,30,37,-44,-8,78,37,96
"05107","South","West South Central",-115,-310,-682,-337,-539,-460,-530,-507,-551,-281
"05109","South","West South Central",0,-41,26,-87,-80,-120,-11,-90,-30,80
"05111","South","West South Central",-21,-72,-164,-63,-49,-89,-13,127,-148,-348
"05113","South","West South Central",6,-64,-147,-33,-83,-14,-23,27,-71,21
"05115","South","West South Central",228,286,-278,-185,215,141,-39,-486,-224,296
"05117","South","West South Central",-13,-101,-98,-100,-11,-26,-4,14,-143,19
"05119","South","West South Central",61,373,-817,-238,-1520,-2233,-2002,-2698,-2936,-1415
"05121","South","West South Central",5,28,-101,-173,-9,-82,51,228,347,13
"05123","South","West South Central",-124,-289,-146,-539,-519,-547,-406,-432,-511,-508
"05125","South","West South Central",444,1433,1348,1469,1170,1209,957,1710,1418,1197
"05127","South","West South Central",35,-25,-266,-79,-240,-143,-206,73,-41,-48
"05129","South","West South Central",6,-81,-32,15,-18,-48,161,0,25,-11
"05131","South","West South Central",-133,478,-133,-827,-943,130,-467,-124,-590,-194
"05133","South","West South Central",28,-97,-149,49,-77,-217,-386,64,-125,-130
"05135","South","West South Central",-8,118,-152,86,-138,93,272,230,221,199
"05137","South","West South Central",25,158,93,-59,20,57,171,87,-1,115
"05139","South","West South Central",-103,-122,-593,-217,-410,-72,-252,-444,-226,-386
"05141","South","West South Central",13,-89,-6,-81,-11,-48,-69,-21,173,9
"05143","South","West South Central",321,1270,1128,2154,1595,2196,1504,2155,1886,802
"05145","South","West South Central",149,505,331,-362,-297,193,-119,-115,-498,360
"05147","South","West South Central",-7,-47,-104,-21,-141,-97,-73,-9,-93,-112
"05149","South","West South Central",-43,-346,-154,-59,-82,-283,-40,-21,-80,-133
"06001","West","Pacific",-1592,-1206,4019,5725,6320,2849,-6171,-11712,-10045,-11626
"06003","West","Pacific",-13,-65,17,17,-46,1,-26,66,-23,35
"06005","West","Pacific",-217,-179,-298,-345,221,403,514,1212,952,451
"06007","West","Pacific",-181,-301,629,555,1235,733,1316,2335,1684,-11249
"06009","West","Pacific",-39,-200,-252,13,96,364,464,454,92,323
"06011","West","Pacific",-30,-250,-167,-210,-239,-69,115,-40,-237,10
"06013","West","Pacific",1570,4797,4562,7393,6448,5430,3516,-203,-1982,-3497
"06015","West","Pacific",-44,-161,-315,-436,-702,3,165,-17,369,53
"06017","West","Pacific",-12,-606,-641,650,1318,1228,1206,2547,1964,2110
