"GeoFips","GeoName","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"05071","Johnson, AR",483132,483821,538335,567470,592376,614436,620407,566012,596651
"05073","Lafayette, AR",154418,140351,161778,155922,157661,166903,171262,130141,125457
"05075","Lawrence, AR",301171,338255,340040,333642,367483,324742,338210,360393,366522
"05077","Lee, AR",142688,194633,191414,159131,193176,216996,204383,185649,198560
"05079","Lincoln, AR",181858,208648,229320,213356,213926,231312,212060,216384,225526
"05081","Little River, AR",388642,363614,420956,420888,472910,521680,633667,648371,546385
"05083","Logan, AR",379346,403373,475002,519682,525289,567968,586879,470875,487488
"05085","Lonoke, AR",702690,797614,882676,880146,972044,1012282,1020802,1076431,1093646
"05087","Madison, AR",237508,251374,311857,300773,299397,283957,283593,270106,283564
"05089","Marion, AR",226213,224897,254418,274045,279784,304705,354690,330783,354678
"05091","Miller, AR",930390,928269,965745,1002775,1113051,1119373,1073429,1050948,1180871
"05093","Mississippi, AR",1598820,1534510,1701905,1643071,1932472,2002887,1912234,1470686,1690645
"05095","Monroe, AR",147873,174772,172514,175628,189977,179947,185710,179080,205679
"05097","Montgomery, AR",116488,116301,129513,130801,134781,146576,141682,134111,136546
"05099","Nevada, AR",167153,178891,211882,233186,224877,210048,185438,160132,172376
"05101","Newton, AR",76364,78271,84187,94671,103587,104042,85258,85691,93338
"05103","Ouachita, AR",433178,446956,470157,490020,529244,541825,568685,562980,595525
"05105","Perry, AR",93021,95444,109995,106861,117736,126619,134780,133034,133644
"05107","Phillips, AR",408772,461284,474444,453578,467516,514334,479219,486000,494627
"05109","Pike, AR",194319,195002,217412,231670,226900,245956,243627,223766,235029
"05111","Poinsett, AR",403932,488453,529338,532020,561436,530823,563977,559842,567611
"05113","Polk, AR",357742,360665,381876,398108,401867,415219,433618,413820,430556
"05115","Pope, AR",1812485,1905773,2044006,2208609,2323613,2343702,2422110,2435579,2589146
"05117","Prairie, AR",122028,158728,173499,153490,162522,162064,194222,223386,195460
"05119","Pulaski, AR",17956540,19045909,20101475,21803808,22533344,23778105,23767763,23537666,23296611
"05121","Randolph, AR",289369,325370,351757,330969,342691,347245,342246,354356,351822
"05123","St. Francis, AR",581656,589990,628180,622554,597044,594105,604934,645357,670159
"05125","Saline, AR",1170748,1238101,1307817,1410242,1550794,1588279,1630129,1604528,1695711
"05127","Scott, AR",213705,196238,207624,207450,240820,216799,219848,198669,215270
"05129","Searcy, AR",99535,105519,113385,116378,130286,131310,121868,126482,136815
"05131","Sebastian, AR",4561150,4844086,5236125,5563312,6035447,5988467,6047376,5577552,5837186
"05133","Sevier, AR",340470,384319,350935,358597,364650,391887,374043,366880,388909
"05135","Sharp, AR",220558,229813,252346,254378,265247,271488,269497,268017,276682
"05137","Stone, AR",164578,168971,182251,192127,193925,206276,195820,186156,198161
"05139","Union, AR",1606205,1535423,1573929,1639456,1827106,1877258,1845293,1897745,2026015
"05141","Van Buren, AR",231896,241503,249400,251101,278276,353446,603067,574638,684660
"05143","Washington, AR",5330826,5788772,6585155,7170929,7368409,7183497,7165201,7049011,7455522
"05145","White, AR",1342883,1454234,1568006,1638508,1737208,1802232,2219917,2246033,2462586
"05147","Woodruff, AR",146304,164916,167382,154357,162967,170737,193464,157563,177722
"05149","Yell, AR",411482,446268,505108,505043,485314,493107,508620,449137,456425
"06001","Alameda, CA",69145648,73217538,76417217,80189480,85607091,88299465,89588149,86904155,90033250
"06003","Alpine, CA",60721,63574,63468,67057,79973,87048,84328,82910,84889
"06005","Amador, CA",1105763,1231903,1324620,1362985,1498457,1509026,1473652,1447132,1428232
"06007","Butte, CA",5575241,6012097,6361775,6735922,7390572,7547686,7442456,7478000,7594704
"06009","Calaveras, CA",911616,953385,987092,1011017,1150477,1135820,1095843,1077572,1140746
